Código;Nome;Símbolo;Cód. País;País;Tipo;Data Exclusão Ptax
005;AFEGANE AFEGANIST;AFN;00132;AFEGANISTAO;A;
785;RANDE/AFRICA SUL;ZAR;07560;AFRICA DO SUL;A;
490;LEK ALBANIA REP;ALL;00175;ALBANIA, REPUBLICA DA;A;
610;MARCO ALEMAO;DEM;00230;ALEMANHA;A;02/01/2002
690;PESETA/ANDORA;ADP;00370;ANDORRA;A;27/02/2004
635;KWANZA/ANGOLA;AOA;00400;ANGOLA;A;
820;RIAL/ARAB SAUDITA;SAR;00531;ARABIA SAUDITA;A;
095;DINAR ARGELINO;DZD;00590;ARGELIA;A;
010;AUSTRAL;ARG;00639;ARGENTINA;A;16/12/2009
705;PESO ARGENTINO;$(ARG);00639;ARGENTINA;A;03/11/1986
706;PESO ARGENTINO;ARS;00639;ARGENTINA;A;
275;DRAM ARMENIA REP;AMD;00647;ARMENIA, REPUBLICA DA;A;
328;FLORIM/ARUBA;AWG;00655;ARUBA;A;
150;DOLAR AUSTRALIANO;AUD;00698;AUSTRALIA;B;
940;XELIM AUSTRIACO;ATS;00728;AUSTRIA;A;02/01/2002
607;MANAT ARZEBAIJAO;AZN;00736;AZERBAIJAO, REPUBLICA DO;A;
155;DOLAR/BAHAMAS;BSD;00779;BAHAMAS, ILHAS;A;
105;DINAR/BAHREIN;BHD;00809;BAHREIN, ILHAS;A;
905;TACA/BANGLADESH;BDT;00817;BANGLADESH;A;
175;DOLAR/BARBADOS;BBD;00833;BARBADOS;A;
829;RUBLO BELARUS;BYR;00850;BELARUS, REPUBLICA DA;A;30/06/2016
831;RUBLO BELARUS;BYN;00850;BELARUS, REPUBLICA DA;A;
360;FRANCO BELGA/BELG;BEF;00876;BELGICA;A;02/01/2002
180;DOLAR/BELIZE;BZD;00884;BELIZE;A;
160;DOLAR/BERMUDAS;BMD;00906;BERMUDAS;A;
030;BOLIVIANO/BOLIVIA;BOB;00973;BOLIVIA;A;
710;PESO BOLIVIANO;$B;00973;BOLIVIA;A;20/09/1993
612;MARCO CONV BOSNIA;BAM;00981;BOSNIA-HERZEGOVINA (REPUBLICA DA);A;
755;PULA/BOTSWANA;BWP;01015;BOTSUANA;B;
078;CRUZADO NOVO;NCZ$;01058;BRASIL;A;15/03/1990
079;CRUZADO;CZ$;01058;BRASIL;A;15/01/1989
080;CRUZEIRO;CR$;01058;BRASIL;A;27/02/1986
083;CRUZEIRO;CR$;01058;BRASIL;A;31/07/1993
085;CRUZEIRO REAL;CR$;01058;BRASIL;A;30/06/1994
790;REAL BRASIL;BRL;01058;BRASIL;A;
185;DOLAR BRUNEI;BND;01082;BRUNEI;A;
510;LEV/BULGARIA, REP;BGN;01112;BULGARIA, REPUBLICA DA;A;
365;FRANCO/BURUNDI;BIF;01155;BURUNDI;A;
665;NGULTRUM/BUTAO;BTN;01198;BUTAO;A;
295;ESCUDO CABO VERDE;CVE;01279;CABO VERDE, REPUBLICA DE;A;
825;RIEL/CAMBOJA;KHR;01414;CAMBOJA;A;
165;DOLAR CANADENSE;CAD;01490;CANADA;A;
800;RIAL/CATAR;QAR;01546;CATAR;A;
190;DOLAR CAYMAN;KYD;01376;CAYMAN, ILHAS;A;
913;TENGE CAZAQUISTAO;KZT;01538;CAZAQUISTAO, REPUBLICA DO;A;
197;UNIDADE DE FOMENTO DO CHILE;CLF;01589;CHILE;B;
715;PESO CHILE;CLP;01589;CHILE;A;
916;UNID FOMENTO CHIL;CLF;01589;CHILE;A;20/01/2014
795;RENMINBI CHINES;CNY;01600;CHINA, REPUBLICA POPULAR;A;
520;LIBRA CIP/CHIPRE;CYP;01635;CHIPRE;A;03/03/2009
195;DOLAR CINGAPURA;SGD;07412;CINGAPURA;A;
720;PESO/COLOMBIA;COP;01694;COLOMBIA;A;
721;UNIDADE DE VALOR REAL;COU;01694;COLOMBIA;B;
368;FRANCO COMORES;KMF;01732;COMORES, ILHAS;A;
363;FRANCO CONGOLES;CDF;08885;CONGO, REPUBLICA DEMOCRATICA DO;A;
970;NOVO ZAIRE ZAIRE;ZRN;08885;CONGO, REPUBLICA DEMOCRATICA DO;A;31/07/1998
971;NOVO ZAIRE;ZRN;08885;CONGO, REPUBLICA DEMOCRATICA DO;A;30/10/1998
925;WON/COREIA NORTE;KPW;01872;COREIA, REP.POP.DEMOCRATICA;A;
930;WON COREIA SUL;KRW;01902;COREIA, REPUBLICA DA;A;
995;BUA;BUA;01937;COSTA DO MARFIM;B;17/12/2009
996;FUA;FUA;01937;COSTA DO MARFIM;B;17/12/2009
040;COLON/COSTA RICA;CRC;01961;COSTA RICA;A;
100;DINAR/KWAIT;KWD;01988;COVEITE;A;
779;KUNA DA CROACIA;HRK;01953;CROACIA (REPUBLICA DA);A;31/12/2022
725;PESO/CUBA;CUP;01996;CUBA;A;
055;COROA DINAMARQUESA;DKK;02321;DINAMARCA;A;
390;FRANCO/DJIBUTI;DJF;07838;DJIBUTI;A;
535;LIBRA/EGITO;EGP;02402;EGITO;A;
045;COLON/EL SALVADOR;SVC;06874;EL SALVADOR;A;
145;DIRHAM/EMIR.ARABE;AED;02445;EMIRADOS ARABES UNIDOS;A;
895;SUCRE EQUADOR;ECS;02399;EQUADOR;A;09/09/2000
625;NAKFA DA ERITREIA;ERN;02437;ERITREIA;A;
058;COROA ESLOVACA;SKK;02470;ESLOVACA, REPUBLICA;A;03/03/2009
914;TOLAR/ESLOVENIA;SIT;02461;ESLOVENIA, REPUBLICA DA;A;03/03/2009
700;PESETA ESPANHOLA;ESP;02453;ESPANHA;A;02/01/2002
057;COROA ESTONIA;EEK;02518;ESTONIA, REPUBLICA DA;A;17/01/2011
